,MQ30
2018-03-29,1000.0
2018-04-02,978.4598085869608
2018-04-03,989.4708269983894
2018-04-04,1000.8266781279792
2018-04-05,1008.6198556155545
2018-04-06,983.8143060254768
2018-04-09,988.0459596513318
2018-04-10,1004.1692639901371
2018-04-11,995.605110578282
2018-04-12,1006.4612126400309
2018-04-13,1002.5624702945314
2018-04-16,1011.0017458114035
2018-04-17,1024.760064218634
2018-04-18,1026.2572627144323
2018-04-19,1024.626564092555
2018-04-20,1016.5169374695115
2018-04-23,1015.061624419995
2018-04-24,1001.2028794220935
2018-04-25,1000.6730650175496
2018-04-26,1016.8958294899675
2018-04-27,1017.7212770107412
2018-04-30,1013.1467002071837
2018-05-01,1014.48081434766
2018-05-02,1006.403727439047
2018-05-03,1004.5693093736796
2018-05-04,1018.4486755361014
2018-05-07,1021.2075447496467
2018-05-08,1021.4738650294224
2018-05-09,1029.9232370193297
2018-05-10,1039.7352662180947
2018-05-11,1043.4214167362818
2018-05-14,1045.8336860471668
2018-05-15,1035.5821959654108
2018-05-16,1038.8826441918507
2018-05-17,1036.1336263063456
2018-05-18,1036.6936328587963
2018-05-21,1046.2900917064721
2018-05-22,1043.4780045084512
2018-05-23,1046.7349119950125
2018-05-24,1045.4156627043405
2018-05-25,1043.9891082482152
2018-05-29,1029.0745594810915
2018-05-30,1041.798270132108
2018-05-31,1035.3762854123513
2018-06-01,1046.054524970488
2018-06-04,1053.9526322318075
2018-06-05,1053.5256580173025
2018-06-06,1066.2360362316233
2018-06-07,1066.0553868627703
2018-06-08,1066.9448728626285
2018-06-11,1066.9283694550131
2018-06-12,1069.1128997766427
2018-06-13,1064.5581668688965
2018-06-14,1066.1985043140276
2018-06-15,1063.4030104557776
2018-06-18,1062.6417738690368
2018-06-19,1057.4584400806727
2018-06-20,1057.6949515558147
2018-06-21,1052.1971957843093
2018-06-22,1052.800106514699
2018-06-25,1038.8873015458212
2018-06-26,1039.8021197617065
2018-06-27,1030.54905638417
2018-06-28,1039.5373686876699
2018-06-29,1039.5373686876699
2018-07-02,1040.9604898082584
2018-07-03,1034.1520949589408
2018-07-05,1043.4970504888192
2018-07-06,1048.773307931337
2018-07-09,1059.376740906015
2018-07-10,1064.6180020651689
2018-07-11,1057.0137566680319
2018-07-12,1065.9963200220889
2018-07-13,1065.855402473373
2018-07-16,1065.529301065337
2018-07-17,1071.1671783353872
2018-07-18,1076.7645613292104
2018-07-19,1074.7298134232028
2018-07-20,1076.1598344212418
2018-07-23,1080.158209856768
2018-07-24,1086.0885796065893
2018-07-25,1099.6271280356443
2018-07-26,1099.7708583383685
2018-07-27,1092.506959571427
2018-07-30,1083.6905468725397
2018-07-31,1087.0544037727182
2018-08-01,1084.2475111479291
2018-08-02,1088.228981583065
2018-08-03,1092.9706451877844
2018-08-06,1095.9204021412932
2018-08-07,1101.3956863654594
2018-08-08,1102.407760427011
2018-08-09,1099.1096030478445
2018-08-10,1091.7556513594125
2018-08-13,1087.000511763983
2018-08-14,1093.4059138571995
2018-08-15,1085.4060891251738
2018-08-16,1098.5249002979795
2018-08-17,1102.6444769545149
2018-08-20,1102.9568529855094
2018-08-21,1105.202205060206
2018-08-22,1106.2225475472758
2018-08-23,1105.8723988716063
2018-08-24,1113.3395547713205
2018-08-27,1122.9266573251136
2018-08-28,1126.20318875918
2018-08-29,1132.4608134168454
2018-08-30,1127.5890473652198
2018-08-31,1129.149058097716
2018-09-04,1132.3770814820996
2018-09-05,1128.9199705249905
2018-09-06,1128.3017400652361
2018-09-07,1127.9733564482963
2018-09-10,1133.1045263773558
2018-09-11,1136.7146709657186
2018-09-12,1134.8636497305704
2018-09-13,1143.20581764561
2018-09-14,1141.444180708652
2018-09-17,1132.9779137620203
2018-09-18,1141.2978618233155
2018-09-19,1145.1991772069712
2018-09-20,1153.1713388502676
2018-09-21,1154.4371824285447
2018-09-24,1150.2254262558126
2018-09-25,1149.7571528609612
2018-09-26,1145.3131510822257
2018-09-27,1147.41473608609
2018-09-28,1147.41473608609
2018-10-01,1156.0689620973149
2018-10-02,1156.7660463482846
2018-10-03,1155.843506527658
2018-10-04,1146.031506550937
2018-10-05,1138.2819726659075
2018-10-08,1136.205044152048
2018-10-09,1134.2748618423548
2018-10-10,1095.2809872902735
2018-10-11,1072.3226026042603
2018-10-12,1093.503721125842
2018-10-15,1083.4483313573428
2018-10-16,1107.918970260815
2018-10-17,1106.0145611832052
2018-10-18,1089.0742650843772
2018-10-19,1089.4026910983648
2018-10-22,1086.1369952907382
2018-10-23,1080.240785640052
2018-10-24,1047.9244500813281
2018-10-25,1071.741582331911
2018-10-26,1052.2429874808724
2018-10-29,1047.711151297821
2018-10-30,1058.751459298645
2018-10-31,1073.3438414910509
2018-11-01,1081.2335686049094
2018-11-02,1074.628085357462
2018-11-05,1084.407867631674
2018-11-06,1089.3988230822597
2018-11-07,1117.0514517915158
2018-11-08,1118.304312810843
2018-11-09,1110.0392586746577
2018-11-12,1086.846893543765
2018-11-13,1083.9110674575354
2018-11-14,1075.0793372869723
2018-11-15,1089.8296449918819
2018-11-16,1094.7972970531043
2018-11-19,1076.9988548206964
2018-11-20,1059.6197764272686
2018-11-21,1058.396708943406
2018-11-23,1054.398061365881
2018-11-26,1069.9850606556568
2018-11-27,1073.9378403246317
2018-11-28,1102.0551760610351
2018-11-29,1100.6694987386934
2018-11-30,1114.7712322062898
2018-12-03,1126.4441303984502
2018-12-04,1089.034587287566
2018-12-06,1088.2410369185138
2018-12-07,1060.6705707038673
2018-12-10,1063.6688707045123
2018-12-11,1064.7742434011261
2018-12-12,1072.2803206725657
2018-12-13,1072.0847952030276
2018-12-14,1048.6260668424113
2018-12-17,1027.0752027266271
2018-12-18,1029.5971770572053
2018-12-19,1017.0758406444438
2018-12-20,999.4045855327953
2018-12-21,978.8058627056089
2018-12-24,954.8092742718127
2018-12-26,1003.6074992288776
2018-12-27,1014.9538177649015
2018-12-28,1015.7608793022208
2018-12-31,1015.7608793022208
2019-01-02,1008.5532880595727
2019-01-03,984.8848284545721
2019-01-04,1013.7927379128996
2019-01-07,1016.4900079564335
2019-01-08,1025.8698732476746
2019-01-09,1025.5046276279074
2019-01-10,1030.5368370171357
2019-01-11,1029.6978408222913
2019-01-14,1022.4034536492499
2019-01-15,1034.2392188465778
2019-01-16,1033.231984519893
2019-01-17,1041.009600872079
2019-01-18,1052.1513433906518
2019-01-22,1047.3384542535905
2019-01-23,1051.8001688394063
2019-01-24,1046.323174712145
2019-01-25,1047.7200635970698
2019-01-28,1041.6449295276748
2019-01-29,1043.0571377507508
2019-01-30,1055.5677311363565
2019-01-31,1066.6223479214573
2019-02-01,1067.2547935265454
2019-02-04,1073.3998699702393
2019-02-05,1077.6702445097071
2019-02-06,1077.8683677651907
2019-02-07,1070.5765280923015
2019-02-08,1073.0516762994837
2019-02-11,1073.9673300484412
2019-02-12,1086.8493493300916
2019-02-13,1089.2789517566343
2019-02-14,1083.3776065361953
2019-02-15,1096.268166612123
2019-02-19,1096.1451430092623
2019-02-20,1097.867004067936
2019-02-21,1098.5362876822571
2019-02-22,1104.7813346439214
2019-02-25,1108.3037981814368
2019-02-26,1109.034974245318
2019-02-27,1109.2183001500746
2019-02-28,1110.0177537907598
2019-03-01,1116.5124726184242
2019-03-04,1110.654470564046
2019-03-05,1111.289524914701
2019-03-06,1107.0604622269188
2019-03-07,1099.7993441311319
2019-03-08,1099.4401988208188
2019-03-11,1114.0824100306568
2019-03-12,1118.2751171450473
2019-03-13,1126.5123538727496
2019-03-14,1127.8811475134287
2019-03-15,1133.2491575997185
2019-03-18,1136.2484244431166
2019-03-19,1138.2112218896189
2019-03-20,1136.2393004917967
2019-03-21,1146.696151646553
2019-03-22,1132.462564363755
2019-03-25,1132.7895576452356
2019-03-26,1141.3168546726051
2019-03-27,1136.2084956580397
2019-03-28,1143.24910880388
2019-03-29,1143.24910880388
2019-04-01,1148.7745163653196
2019-04-02,1146.9036607313037
2019-04-03,1148.1163380939317
2019-04-04,1146.5096628467065
2019-04-05,1151.7236316334736
2019-04-08,1152.828004487266
2019-04-09,1148.3167239893387
2019-04-10,1149.4654897894213
2019-04-11,1147.3862267738077
2019-04-12,1148.2807119992679
2019-04-15,1150.7824007949534
2019-04-16,1147.083380653217
2019-04-17,1141.6305785391355
2019-04-18,1145.588151667162
2019-04-22,1146.8623477028232
2019-04-23,1156.5387439441258
2019-04-24,1155.488410502611
2019-04-25,1156.2289622967144
2019-04-26,1159.6930563084313
2019-04-29,1158.9451263523122
2019-04-30,1165.5736027721996
2019-05-01,1154.3933685073032
2019-05-02,1152.8199979844396
2019-05-03,1160.7148860702873
2019-05-06,1159.3311565051663
2019-05-07,1143.5820181574738
2019-05-08,1143.1220019149116
2019-05-09,1141.9312731893317
2019-05-10,1152.2135696342193
2019-05-13,1133.3512089034314
2019-05-14,1139.522901632518
2019-05-15,1147.690203971749
2019-05-16,1163.7064079079576
2019-05-17,1160.0799458883982
2019-05-20,1156.8109951538586
2019-05-21,1160.972358308976
2019-05-22,1164.2609048620018
2019-05-23,1153.8366794574147
2019-05-24,1158.0826108218828
2019-05-28,1147.063152325975
2019-05-29,1138.2701509750532
2019-05-30,1143.0854746464804
2019-05-31,1131.9546311586162
2019-06-03,1131.5448691552592
2019-06-04,1149.200204061718
2019-06-05,1162.851851989074
2019-06-06,1173.8165568975826
2019-06-07,1189.1846274942393
2019-06-10,1192.3643620287792
2019-06-11,1191.954788871651
2019-06-12,1195.6415096747935
2019-06-13,1197.0133132278343
2019-06-14,1196.8682477941963
2019-06-17,1196.9560382290624
2019-06-18,1204.864199529253
2019-06-19,1209.7225137049927
2019-06-20,1220.346209024872
2019-06-21,1219.2161748039168
2019-06-24,1219.3950058801695
2019-06-25,1211.037328910246
2019-06-26,1203.1967661178273
2019-06-27,1204.2878804725701
2019-06-28,1204.2878804725701
2019-07-01,1213.041892309357
2019-07-02,1222.485302969303
2019-07-03,1235.1552916190617
2019-07-05,1230.1751359691837
2019-07-08,1227.1961640540726
2019-07-09,1227.920243924079
2019-07-10,1234.674063902904
2019-07-11,1235.8183238665083
2019-07-12,1235.5458396301265
2019-07-15,1237.0051130601091
2019-07-16,1233.246767815174
2019-07-17,1228.598210941166
2019-07-18,1241.116068627349
2019-07-19,1230.407072999015
2019-07-22,1232.0009522233686
2019-07-23,1238.6584316208523
2019-07-24,1236.3866523439901
2019-07-25,1234.193445771405
2019-07-26,1246.448453698227
2019-07-29,1247.5542929541657
2019-07-30,1241.9054721995024
2019-07-31,1222.7289040371138
2019-08-01,1219.8660315891439
2019-08-02,1217.9765909630135
2019-08-05,1184.2766154251726
2019-08-06,1203.0778809549922
2019-08-07,1208.1653664370667
2019-08-08,1227.9343327740862
2019-08-09,1224.4538431834897
2019-08-12,1210.9335255771464
2019-08-13,1228.1153461574052
2019-08-14,1199.2686454700843
2019-08-15,1209.093291569105
2019-08-16,1222.3545826094366
2019-08-19,1232.0040332823764
2019-08-20,1219.8931701039317
2019-08-21,1228.2757123712327
2019-08-22,1228.2751858173674
2019-08-23,1201.6793331083943
2019-08-26,1215.2693044906985
2019-08-27,1216.521251829829
2019-08-28,1223.837294925329
2019-08-29,1235.757710188363
2019-08-30,1234.4231138594632
2019-09-03,1230.9228527428102
2019-09-04,1240.280177974702
2019-09-05,1247.7735685553089
2019-09-06,1251.8274997411218
2019-09-09,1238.1928372392906
2019-09-10,1223.6224622013112
2019-09-11,1230.866035113023
2019-09-12,1239.6861151623048
2019-09-13,1235.7944186600448
2019-09-16,1225.271487886467
2019-09-17,1232.7345947182841
2019-09-18,1235.9269904020439
2019-09-19,1238.1534190990897
2019-09-20,1234.3215821614926
2019-09-23,1234.9323622704608
2019-09-24,1230.6920657777434
2019-09-25,1235.6524485987072
2019-09-26,1236.7443172677074
2019-09-27,1231.866669351949
2019-09-30,1231.866669351949
2019-10-01,1217.783093931665
2019-10-02,1192.3430420861075
2019-10-03,1205.738674226166
2019-10-04,1224.2822748225037
2019-10-07,1216.6039238135988
2019-10-08,1197.4073783416989
2019-10-09,1211.3045567433182
2019-10-10,1216.9474968867426
2019-10-11,1223.161611340215
2019-10-14,1221.0905902327306
2019-10-15,1227.762028130088
2019-10-16,1225.9999595410463
2019-10-17,1229.547431370478
2019-10-18,1225.5649820335286
2019-10-21,1229.2808276704604
2019-10-22,1215.9043627316041
2019-10-23,1217.6165513098038
2019-10-24,1221.140821701974
2019-10-25,1223.322718607976
2019-10-28,1229.5134687123311
2019-10-29,1228.5315533987064
2019-10-30,1235.6475796047403
2019-10-31,1234.678523978156
2019-11-01,1237.0014587159671
2019-11-04,1233.7087108480584
2019-11-05,1227.9066979624354
2019-11-06,1233.3950731982313
2019-11-07,1235.9052650153146
2019-11-08,1239.3171096018266
2019-11-11,1235.2743741922645
2019-11-12,1240.7357094948113
2019-11-13,1248.2581802595867
2019-11-14,1250.6675731110633
2019-11-15,1258.1352707160847
2019-11-18,1256.6299593551269
2019-11-19,1255.6666596291054
2019-11-20,1251.4571081356783
2019-11-21,1248.4061779209076
2019-11-22,1247.1869680791326
2019-11-25,1253.018386358485
2019-11-26,1261.9710574609817
2019-11-27,1265.7452297563946
2019-11-29,1262.017221228984
2019-12-02,1252.3136160383642
2019-12-03,1249.1857657404105
2019-12-04,1257.9193170198039
2019-12-05,1259.1102159621535
2019-12-06,1268.5512827393957
2019-12-09,1267.0638592591959
2019-12-10,1266.0251049271135
2019-12-11,1268.7364948780858
2019-12-12,1276.1785800568687
2019-12-13,1280.6082280075348
2019-12-16,1287.4270204199984
2019-12-17,1287.3880899523915
2019-12-18,1286.0392911801937
2019-12-19,1294.0709407286884
2019-12-20,1302.8297543704764
2019-12-23,1298.7907797993469
2019-12-24,1299.352645106265
2019-12-26,1302.8451953409494
2019-12-27,1304.5929640331372
2019-12-30,1296.4010788827236
2019-12-31,1296.4010788827238
2020-01-02,1305.0873668636245
2020-01-03,1295.6183254812177
2020-01-06,1298.8313704093814
2020-01-07,1293.6125136387575
2020-01-08,1303.3996541297931
2020-01-09,1314.9583470902512
2020-01-10,1311.3729841353759
2020-01-13,1322.7086015969292
2020-01-14,1321.4635385674733
2020-01-15,1327.7039455606214
2020-01-16,1337.7575977627791
2020-01-17,1345.9510687616348
2020-01-21,1344.3870855419168
2020-01-22,1347.9755163134255
2020-01-23,1346.6877948274018
2020-01-24,1337.0590131290412
2020-01-27,1318.6924910415548
2020-01-28,1332.2024104469501
2020-01-29,1332.225926270691
2020-01-30,1339.341572028246
2020-01-31,1307.7487556969832
2020-02-03,1316.5158199689536
2020-02-04,1334.008345751687
2020-02-05,1347.337758214636
2020-02-06,1353.8075466028447
2020-02-07,1350.086369302083
2020-02-10,1358.5004235029598
2020-02-11,1358.0746044169985
2020-02-12,1363.1915044109771
2020-02-13,1367.091324992618
2020-02-14,1373.036602460471
2020-02-18,1369.9315402388395
2020-02-19,1374.4896987095865
2020-02-20,1367.4138601336251
2020-02-21,1357.1524117025958
2020-02-24,1311.742430755827
2020-02-25,1272.2316513569135
2020-02-26,1271.0684704550135
2020-02-27,1214.212541390544
2020-02-28,1198.2206220971655
2020-03-02,1259.3292954968135
2020-03-03,1225.1496177924757
2020-03-04,1281.8424892743417
2020-03-05,1240.9574269296004
2020-03-06,1220.7736981596638
2020-03-09,1141.8575552251973
2020-03-10,1193.6159811573868
2020-03-11,1133.0862483228639
2020-03-12,1030.8977460145525
2020-03-13,1138.1263874858428
2020-03-16,1007.7938179774991
2020-03-17,1071.1267143940697
2020-03-18,1020.7063476702191
2020-03-19,1024.5800141478737
2020-03-20,971.6383415521244
2020-03-23,943.5829615277198
2020-03-24,1035.7696378989856
2020-03-25,1040.930044607896
2020-03-26,1105.2456064433732
2020-03-27,1070.530269702749
2020-03-30,1110.5076571063187
2020-03-31,1110.5076571063187
2020-04-01,1066.7588386451334
2020-04-02,1100.6231921524688
2020-04-03,1085.9279480763682
2020-04-06,1156.0342254003187
2020-04-07,1147.3220938896052
2020-04-08,1179.098154137309
2020-04-09,1191.5374260331882
2020-04-13,1185.3137557604691
2020-04-14,1226.142108307982
2020-04-15,1205.0102429534825
2020-04-16,1217.9779341131548
2020-04-17,1243.5655164673399
2020-04-20,1222.8772754558904
2020-04-21,1188.4722243645613
2020-04-22,1221.5651623138936
2020-04-23,1212.14043519362
2020-04-24,1230.4940188869014
2020-04-27,1245.5057719859076
2020-04-28,1233.056342922804
2020-04-29,1257.2570498077137
2020-04-30,1253.2021513222714
2020-05-01,1224.5931253305594
2020-05-04,1226.9404026099432
2020-05-05,1240.5274531852278
2020-05-06,1235.164846863772
2020-05-07,1245.8866796874697
2020-05-08,1258.6906443838227
2020-05-11,1264.8924132619982
2020-05-12,1242.671792254423
2020-05-13,1230.1167237719358
2020-05-14,1241.5979871333739
2020-05-15,1247.7923364994026
2020-05-18,1272.3083405384787
2020-05-19,1256.2550653880667
2020-05-20,1276.6212967541462
2020-05-21,1265.7063615214697
2020-05-22,1268.562254486017
2020-05-26,1274.9574669730162
2020-05-27,1288.9823402473899
2020-05-28,1294.0167832732634
2020-05-29,1303.0878351363738
2020-06-01,1305.8147906234663
2020-06-02,1313.3743027859505
2020-06-03,1324.1750276173493
2020-06-04,1320.0776093605718
2020-06-05,1347.5741907554427
2020-06-08,1354.7788665492078
2020-06-09,1353.3907311936052
2020-06-10,1355.730349879441
2020-06-11,1286.520527365682
2020-06-12,1298.2517323509385
2020-06-15,1308.2734185918287
2020-06-16,1331.9248098243306
2020-06-17,1331.258833883481
2020-06-18,1331.5801335364747
2020-06-19,1328.6508229260876
2020-06-22,1335.69296045337
2020-06-23,1343.8790217923158
2020-06-24,1317.190216376706
2020-06-25,1332.4044518106584
2020-06-26,1300.2113138631034
2020-06-29,1314.5557000670135
2020-06-30,1314.5557000670135
2020-07-01,1324.9100937544777
2020-07-02,1333.584320134143
2020-07-06,1352.8842687251172
2020-07-07,1350.779283732868
2020-07-08,1361.164048083102
2020-07-09,1364.0046857220832
2020-07-10,1368.0285074724572
2020-07-13,1356.7131047448654
2020-07-14,1376.8069029345208
2020-07-15,1379.8045818294902
2020-07-16,1378.0264815279108
2020-07-17,1388.318410681039
2020-07-20,1402.4606723864188
2020-07-21,1396.9888442242402
2020-07-22,1402.9750565785614
2020-07-23,1387.370899074314
2020-07-24,1377.4443099394452
2020-07-27,1392.002422924476
2020-07-28,1385.4106783718644
2020-07-29,1393.9227958476627
2020-07-30,1397.2412414260077
2020-07-31,1402.016504187846
2020-08-03,1415.3289240763136
2020-08-04,1421.5467756315527
2020-08-05,1426.4685963513025
2020-08-06,1432.5852017387886
2020-08-07,1429.5859876649947
2020-08-10,1423.25673031722
2020-08-11,1410.0660469681786
2020-08-12,1440.1924589665057
2020-08-13,1438.9175612299532
2020-08-14,1436.3567535279433
2020-08-17,1449.2417661590016
2020-08-18,1453.3178870115669
2020-08-19,1447.048755739684
2020-08-20,1452.893582047427
2020-08-21,1462.5634726737658
2020-08-24,1468.6245903514227
2020-08-25,1477.2146190802473
2020-08-26,1490.2808136442318
2020-08-27,1494.2870240932295
2020-08-28,1506.1311573806172
2020-08-31,1505.8672205823723
2020-09-01,1518.3165691971967
2020-09-02,1546.130328788481
2020-09-03,1485.858082410258
2020-09-04,1469.4589494345448
2020-09-08,1431.6737788394632
2020-09-09,1466.3623755512892
2020-09-10,1439.2395617253374
2020-09-11,1442.1649419201117
2020-09-14,1458.5907060783636
2020-09-15,1470.3853926737786
2020-09-16,1454.3274222947803
2020-09-17,1445.2703107962645
2020-09-18,1432.4273916669563
2020-09-21,1425.099502864239
2020-09-22,1440.0514051770572
2020-09-23,1410.528256223441
2020-09-24,1411.5316940325197
2020-09-25,1430.905024115132
2020-09-28,1452.5372135153987
2020-09-29,1451.4111789969245
2020-09-30,1451.4111789969245
2020-10-01,1454.4818975858461
2020-10-02,1438.9674146323052
2020-10-05,1463.4472546664406
2020-10-06,1447.5432015413705
2020-10-07,1471.9443116770285
2020-10-08,1478.3164847757453
2020-10-09,1496.300452860133
2020-10-12,1511.9415325839302
2020-10-13,1507.0867263072205
2020-10-14,1498.1465415161663
2020-10-15,1491.6872177551297
2020-10-16,1500.2183021923167
2020-10-19,1473.3936041450875
2020-10-20,1478.6407497709874
2020-10-21,1474.0103884402636
2020-10-22,1482.1287978001287
2020-10-23,1485.279618788192
2020-10-26,1461.1010704589971
2020-10-27,1456.0464364261825
2020-10-28,1407.8851923981836
2020-10-29,1416.5189548296364
2020-10-30,1411.3498905968204
2020-11-02,1433.3004343292848
2020-11-03,1453.7420676280192
2020-11-04,1489.876019772405
2020-11-05,1510.9067346695608
2020-11-06,1514.2962707763047
2020-11-09,1512.8261446923866
2020-11-10,1519.0562859483446
2020-11-11,1531.7796556284427
2020-11-12,1522.0504411899587
2020-11-13,1538.7830027701264
2020-11-16,1545.935378857162
2020-11-17,1536.3196178948651
2020-11-18,1518.5842531479477
2020-11-19,1523.6134411434155
2020-11-20,1514.366145559174
2020-11-23,1516.2323967859334
2020-11-24,1529.7678715827774
2020-11-25,1528.119883712318
2020-11-27,1535.1524867392325
2020-11-30,1535.2586478732928
2020-12-01,1548.937353279209
2020-12-02,1548.448114348439
2020-12-03,1542.0528291439102
2020-12-04,1555.950441808147
2020-12-07,1552.00497283078
2020-12-08,1557.392613152356
2020-12-09,1551.8419541351536
2020-12-10,1545.1144970931534
2020-12-11,1544.7839502772304
2020-12-14,1535.5683082079693
2020-12-15,1547.8132270277792
2020-12-16,1549.213598970624
2020-12-17,1566.649870557487
2020-12-18,1567.7040843375498
2020-12-21,1555.7485549779738
2020-12-22,1545.57287738896
2020-12-23,1543.2701868791337
2020-12-24,1552.4003671776345
2020-12-28,1562.7479225951215
2020-12-29,1562.2316910861991
2020-12-30,1564.6909928847217
2020-12-31,1564.6909928847217
2021-01-04,1545.7652837307378
2021-01-05,1552.810294350959
2021-01-06,1558.5382604527695
2021-01-07,1576.3997426220574
2021-01-08,1587.091196815148
2021-01-11,1583.0448901934176
2021-01-12,1576.6878378109848
2021-01-13,1584.273466023225
2021-01-14,1568.402413464025
2021-01-15,1561.1610479259227
2021-01-19,1574.2148481739175
2021-01-20,1595.142328464383
2021-01-21,1596.5550881099543
2021-01-22,1593.5390495749898
2021-01-25,1600.7796173926222
2021-01-26,1598.7408384712612
2021-01-27,1543.69053475348
2021-01-28,1568.1111764163459
2021-01-29,1547.7412749512305
2021-02-01,1568.6493239333342
2021-02-02,1588.6848405665876
2021-02-03,1584.0546652285343
2021-02-04,1592.8540738598447
2021-02-05,1599.8946925481112
2021-02-08,1607.3583254960995
2021-02-09,1605.3690806225147
2021-02-10,1604.2782705516806
